line_id,industry_name,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
20,"Electrical equipment, appliances, and components",0.000000,0.001963,-0.003854,0.002751,0.000249,0.006462,0.002140,-0.009473,-0.037289,0.012528,0.023139,0.051995,0.068965,0.063760,0.091401,0.049441,0.026108,0.005362,0.028517,0.006800,0.000972,0.003563,0.006359,-0.016228,-0.003821,0.004791,0.007717,-0.025144,-0.040289
21,"Motor vehicles, bodies and trailers, and parts",0.000000,-0.002481,0.006931,0.009716,-0.011004,0.014242,-0.010276,-0.039150,-0.028952,-0.080451,-0.060870,-0.050675,-0.017362,0.017943,0.088188,0.070564,0.037387,-0.011697,0.016992,0.022854,-0.011443,-0.006441,0.009011,0.000296,0.006521,-0.104823,-0.032095,0.010275,-0.036684
22,Other transportation equipment,0.000000,0.003213,0.004225,0.001683,0.007667,0.008936,-0.001143,-0.004020,-0.011211,-0.015381,-0.008242,0.001920,0.006308,0.013381,0.011981,0.014828,0.010274,0.009934,0.012527,0.018894,0.002997,0.004026,0.008155,0.003148,-0.002143,-0.021856,-0.001958,0.012093,0.000848
23,Furniture and related products,0.000000,0.018202,0.020063,0.022409,0.007457,0.005469,-0.013414,-0.019787,-0.028178,-0.012042,0.040630,0.027691,0.012984,0.045006,0.090543,0.075389,0.031806,0.019495,-0.000784,0.006629,0.008649,0.010245,0.012594,0.002803,0.006418,-0.006782,0.016738,-0.002991,-0.018434
24,Miscellaneous manufacturing,0.000000,0.001067,0.006483,0.009667,0.006495,0.006712,-0.000199,-0.008122,-0.017219,-0.016030,-0.014469,-0.005577,0.022837,0.014473,0.019477,0.026040,0.025081,0.010236,0.013881,0.009142,0.016071,0.010109,0.006712,-0.000944,0.012802,0.001076,0.006406,0.016317,0.007305
25,Nondurable goods,0.000000,-0.000399,-0.012058,0.008984,-0.007273,-0.030545,-0.006310,0.003736,0.054118,0.034532,0.037632,0.033948,0.041787,0.070201,-0.023983,0.024421,0.030210,-0.032132,0.006718,-0.021061,-0.000833,-0.024891,-0.009188,0.008689,-0.026527,-0.007786,0.039673,0.022951,-0.010829
26,Food and beverage and tobacco products,0.000000,0.016208,0.011014,0.016068,-0.009235,0.140310,-0.097903,-0.021200,0.009402,0.034533,-0.015705,-0.014918,-0.062197,0.013222,0.016736,0.008412,0.100875,0.037109,0.008450,0.038148,0.010999,-0.016314,-0.013814,-0.006326,-0.041980,0.030704,0.055460,0.035496,0.009706
27,Textile mills and textile product mills,0.000000,-0.001224,-0.000347,0.011206,0.010089,0.004063,-0.011256,-0.005673,-0.001972,0.000345,0.005379,0.043499,0.009295,0.023318,0.028936,0.015661,0.010500,0.007483,0.019587,-0.005653,0.008327,-0.007982,0.002518,-0.013752,0.000672,-0.000464,0.011959,0.011900,-0.014408
28,Apparel and leather and allied products,0.000000,-0.000456,-0.002249,-0.001564,0.000681,-0.013049,0.001637,-0.016304,0.014077,0.006750,0.001750,-0.005845,0.012941,0.003866,0.006954,0.008482,0.012791,0.004904,0.026074,0.004985,0.019566,0.005702,0.004347,0.001777,-0.005590,-0.015245,-0.016072,0.016306,0.012026
29,Paper products,0.000000,-0.010420,-0.024790,-0.000122,-0.010291,-0.007065,-0.011515,-0.014115,0.020633,0.003800,0.046474,0.063062,0.028805,0.072518,0.045891,0.058235,0.021919,-0.007644,-0.034385,0.001438,-0.005442,0.013005,0.019126,0.015803,-0.002672,0.017779,0.004635,0.003073,-0.034566
30,Printing and related support activities,0.000000,0.008438,0.003639,0.006099,0.009414,0.000568,-0.008013,0.002948,-0.001102,-0.011208,0.007567,0.030962,0.076838,0.060574,0.030306,0.030760,0.054021,0.011212,0.003309,0.015105,0.024707,0.003471,0.008269,-0.000683,0.013533,0.005439,0.006176,0.009567,0.002663
31,Petroleum and coal products,0.000000,-0.024723,-0.032209,0.079373,-0.040410,-0.676226,0.840354,0.138887,0.576457,-0.023752,0.195760,0.119616,0.334010,0.248403,-0.181678,0.097843,0.013878,-0.248701,0.108290,-0.158634,-0.012779,-0.146825,-0.049893,0.103542,-0.109506,-0.114385,0.210336,0.113287,-0.084594
32,Chemical products,0.000000,-0.001563,-0.012796,0.003855,0.001145,-0.016092,0.010823,0.007456,0.029572,0.057235,0.019908,0.023951,0.004796,0.044999,0.000074,-0.006274,0.000738,0.009127,-0.031989,-0.004693,-0.008586,0.002812,0.001406,-0.006903,0.002096,-0.004466,0.003700,-0.000715,0.001655
33,Plastics and rubber products,0.000000,-0.007845,-0.001390,0.008198,0.002004,0.024059,-0.032474,-0.019868,-0.036412,0.028471,0.080972,0.086571,0.080435,0.012192,0.088081,0.057152,0.007854,-0.001910,0.018693,-0.002476,0.006446,0.010467,-0.008779,-0.013781,-0.018212,-0.008364,0.008884,0.001753,-0.018341
34,Wholesale trade,0.000000,0.016499,0.001815,0.000671,-0.006956,-0.008495,0.009389,0.009764,0.025776,0.033965,0.052602,0.024203,0.052852,0.040783,0.001644,0.004917,0.010317,0.019855,0.017122,0.011029,0.008421,0.002969,0.008658,0.010417,0.021843,0.065598,0.018058,0.002303,0.030565
35,Retail trade,0.000000,0.009563,0.004183,-0.006028,0.021973,0.021088,0.051415,-0.002898,0.015753,0.095310,0.030825,0.027338,0.038305,0.004150,0.001994,-0.003987,-0.011942,0.004229,-0.018621,-0.016351,-0.033369,0.002758,-0.017244,0.004034,0.018659,0.037967,0.001065,-0.001049,0.034477
36,Motor vehicle and parts dealers,0.000000,0.019604,-0.014699,-0.011818,0.038780,-0.001525,0.230643,-0.001137,-0.010150,0.290494,0.134044,0.147885,0.032837,0.017720,-0.016113,-0.066016,-0.110807,-0.062229,-0.055009,-0.098370,-0.172386,-0.054539,-0.042072,0.003215,0.060540,0.089414,-0.023288,-0.041155,-0.039036
37,Food and beverage stores,0.000000,0.009892,-0.010230,0.011807,0.038000,0.011096,-0.007340,-0.013693,0.005108,-0.012651,0.011758,0.036283,0.036937,0.046053,0.035551,0.073701,0.027376,0.027794,0.006303,0.013850,0.019145,0.011537,-0.029311,0.006656,0.053455,0.001844,-0.009250,-0.002639,0.045571
38,General merchandise stores,0.000000,0.012226,0.002600,-0.000470,-0.027395,0.005446,-0.017561,-0.023969,0.009261,0.067018,0.004906,0.040938,0.061629,0.043602,0.116071,-0.019370,0.020922,0.056343,-0.035696,-0.024176,0.019178,0.035158,-0.028588,0.021881,-0.004395,0.054760,-0.000021,0.011178,0.124784
39,Other retail,0.000000,0.005102,0.014973,-0.010022,0.022856,0.034640,0.024284,0.003038,0.028247,0.059469,0.003968,-0.019261,0.038013,-0.017523,-0.021147,0.006454,0.011066,0.013873,-0.006427,0.010881,-0.000332,0.015516,-0.002585,0.000216,0.002071,0.025244,0.012299,0.010781,0.039325
40,Transportation and warehousing,0.000000,0.005157,0.007776,0.002920,-0.006514,-0.017648,-0.016936,0.012311,-0.001271,0.050218,0.042200,0.039363,0.055765,0.035421,0.023005,-0.002285,0.008007,-0.011930,-0.013975,0.005517,0.008677,0.014913,0.002317,-0.009335,0.025854,-0.007529,0.001303,0.008958,0.023156
41,Air transportation,0.000000,0.010516,0.016930,0.004562,-0.018576,-0.058566,-0.147067,-0.118486,-0.066054,0.165724,0.095568,0.000000,0.035989,0.101816,0.059493,-0.006026,0.025257,0.035894,-0.047404,-0.018740,0.024826,-0.011549,-0.010525,0.055592,-0.017585,0.000282,-0.004025,0.009857,0.030259
42,Rail transportation,0.000000,0.011659,0.009995,0.007255,0.016876,-0.002596,-0.031214,0.007340,-0.002522,-0.001396,0.028979,0.018496,-0.012947,0.047843,0.053203,0.014104,0.024702,-0.017007,-0.007145,0.029537,0.003647,0.002769,0.005886,-0.004422,0.020284,0.002147,-0.004485,0.000564,-0.011134
43,Water transportation,0.000000,0.020378,-0.042786,0.012465,-0.058962,-0.097646,-0.031088,-0.042715,0.048952,0.153794,0.079268,0.071157,0.012304,0.016159,0.207669,0.053379,-0.077843,-0.017430,0.136768,-0.153883,0.034867,0.029225,0.052379,-0.156144,0.104248,-0.112803,-0.100834,0.055686,0.089669
44,Truck transportation,0.000000,-0.007789,-0.001368,0.003805,0.002462,-0.019886,0.043112,0.011592,0.012595,0.017477,0.013402,0.049909,0.113720,0.091898,0.009919,-0.008307,-0.008313,-0.018344,-0.019924,0.005923,-0.034302,0.006501,0.012019,-0.076379,0.055071,-0.012811,0.046864,-0.006208,0.021053
45,Transit and ground passenger transportation,0.000000,0.013204,-0.004807,-0.000092,-0.013208,-0.032698,-0.025251,0.020089,0.035875,0.017311,-0.031914,-0.036755,0.006075,0.005572,-0.000994,0.014650,-0.005306,0.001221,0.029594,-0.007389,-0.044787,0.025285,-0.017798,0.002188,-0.011880,-0.007451,-0.036108,0.014015,0.016551
46,Pipeline transportation,0.000000,0.020308,0.012230,0.011868,0.023977,0.009049,0.008225,0.007319,0.007846,-0.003538,0.027400,0.036564,0.025736,-0.017325,0.043436,0.021935,0.008962,-0.007004,0.038094,-0.008012,-0.009558,0.006443,-0.001067,0.007840,0.001314,0.045429,-0.036219,0.003285,0.021918
47,Other transportation and support activities,0.000000,0.010452,0.023714,0.006864,-0.006427,0.012854,-0.044722,0.060904,0.005143,0.101034,0.091062,0.069865,0.027798,-0.035564,-0.020777,-0.036187,-0.026601,-0.043921,-0.025057,0.046444,0.057277,0.031311,0.013521,0.018330,0.018125,0.006745,0.010370,0.020094,-0.001548
48,Warehousing and storage,0.000000,0.000745,0.009223,-0.003001,-0.000458,-0.003966,-0.003581,0.017744,-0.006291,0.012098,0.017987,0.047043,0.069662,0.003475,0.048390,0.048764,0.112271,-0.010970,-0.008582,0.005531,0.034144,0.040211,-0.014978,0.009844,0.067242,-0.034867,-0.030764,0.012752,0.067669
49,Information,0.000000,0.000598,-0.001915,0.000361,0.005538,-0.015989,-0.003408,0.007540,-0.007723,-0.010900,-0.009529,-0.007442,-0.003453,-0.001479,-0.002660,0.002135,-0.000627,0.002544,-0.007665,0.001752,0.007429,0.007492,0.002450,0.002242,-0.015592,-0.010397,0.005838,0.005815,-0.015961
50,"Publishing industries, except internet (includes software)",0.000000,0.008196,0.001374,-0.009838,-0.001230,0.008779,-0.006527,0.003388,-0.022174,-0.003853,-0.004576,-0.000563,-0.019940,-0.004943,-0.000011,-0.019499,0.023298,-0.001042,0.006869,-0.001770,0.008424,0.020964,0.018748,0.006206,-0.015512,-0.032117,0.023215,0.012548,-0.029340
51,Motion picture and sound recording industries,0.000000,-0.005738,-0.013939,-0.011838,0.009882,-0.048690,0.017000,0.046835,-0.025053,-0.004872,-0.007365,-0.013411,0.024166,0.024022,0.003134,0.016803,-0.027662,0.009418,-0.004883,-0.009987,0.046294,-0.006408,0.013789,-0.004635,-0.022967,0.003602,-0.004059,-0.000492,0.047310
52,Broadcasting and telecommunications,0.000000,-0.001790,-0.003956,0.006297,0.016062,-0.036436,0.004323,0.007268,0.000361,-0.015582,-0.013271,-0.011272,0.002998,0.001800,0.002823,0.013916,-0.003229,0.003134,-0.012706,-0.001193,0.009002,0.001459,0.002259,0.004887,-0.016884,-0.005352,0.006109,0.008980,-0.033870
53,"Data processing, internet publishing, and other information services",0.000000,-0.000095,0.002776,0.003916,-0.006732,0.001108,-0.016598,0.002863,-0.001283,-0.012580,-0.009813,-0.007359,-0.004137,-0.009250,-0.012645,0.004303,-0.011095,0.003728,-0.015279,0.010486,-0.003870,0.005031,-0.013501,-0.002000,-0.012903,0.000528,-0.006368,-0.000838,-0.002528
54,"Finance, insurance, real estate, rental, and leasing",0.000000,0.010418,0.006955,0.001493,0.014129,-0.003373,0.007838,0.004556,0.004627,0.007670,0.006298,0.008082,0.013853,0.012387,0.016322,0.020081,0.017286,0.015599,0.010164,0.012162,0.019559,0.010021,0.011508,0.007097,0.006017,0.003776,0.012222,0.010213,0.011224
55,Finance and insurance,0.000000,0.012894,0.004902,-0.006151,0.023245,-0.013311,0.006321,0.003635,0.009248,0.012680,0.005346,0.011726,0.019860,0.012974,0.020343,0.021239,0.014777,0.014546,0.004249,0.011201,0.030653,0.015541,0.020532,0.015227,0.014721,0.003143,0.021679,0.017919,0.017987
56,"Federal Reserve banks, credit intermediation, and related activities",0.000000,-0.005214,-0.005819,-0.010737,-0.008528,0.014695,-0.017848,-0.015575,0.002025,0.036022,0.016379,0.025466,0.038888,0.057156,0.048361,0.029885,0.002970,0.019229,-0.012300,0.019978,0.026340,0.014490,0.015675,0.011414,-0.003215,0.009742,0.021395,0.015139,0.010249
57,"Securities, commodity contracts, and investments",0.000000,0.074935,0.036188,-0.028841,0.083167,-0.108948,0.076718,0.037540,0.097028,0.013485,-0.001618,-0.006778,-0.022953,-0.096322,-0.049721,-0.003158,0.028652,0.019575,0.056272,-0.057704,0.050580,0.042500,0.049514,0.026535,0.042174,-0.037786,0.074313,0.034572,0.052147
58,Insurance carriers and related activities,0.000000,0.006757,0.005627,0.010570,0.034762,0.001486,0.001540,0.004372,-0.029520,-0.005873,0.000067,0.004225,0.010355,-0.000330,0.007256,0.017617,0.029263,0.008387,0.008114,0.020613,0.023365,0.004888,0.015823,0.019359,0.024723,0.005073,0.007041,0.016705,0.014084
60,Real estate and rental and leasing,0.000000,0.009000,0.008159,0.006043,0.008785,0.002540,0.008724,0.005106,0.001904,0.004733,0.006866,0.005925,0.010334,0.012050,0.014031,0.019466,0.018720,0.016192,0.013407,0.012663,0.013576,0.007004,0.006556,0.002607,0.001180,0.004132,0.006825,0.005698,0.007259
61,Real estate,0.000000,0.009881,0.009006,0.006292,0.009188,0.004547,0.008491,0.005083,0.000528,0.002064,0.006632,0.005074,0.009756,0.010559,0.014508,0.020182,0.018374,0.017734,0.015368,0.013425,0.014490,0.007400,0.007003,0.002924,0.000756,0.004177,0.007276,0.005456,0.006063
64,Rental and leasing services and lessors of intangible assets,0.000000,-0.000433,-0.000610,0.003418,0.004673,-0.019525,0.011512,0.005439,0.016748,0.033022,0.009359,0.014624,0.016099,0.027123,0.009236,0.012170,0.021937,0.001221,-0.005471,0.005240,0.004628,0.003077,0.002114,-0.000546,0.005471,0.003688,0.002280,0.008134,0.019222
65,Professional and business services,0.000000,0.001753,0.001144,0.001818,-0.000416,0.000774,0.001021,0.002485,-0.001136,-0.006190,-0.003065,0.003623,0.009308,0.002197,0.006666,0.004239,0.016873,0.013303,0.008060,0.005721,0.007494,0.011116,0.008728,0.009504,0.004012,0.000849,0.009842,0.008526,0.002640
66,"Professional, scientific, and technical services",0.000000,0.000109,0.000109,0.001164,0.001033,0.001776,-0.000733,0.005760,-0.005145,-0.010205,-0.004475,0.003952,0.007492,0.003678,0.005973,0.004057,0.014611,0.007655,0.006330,0.007158,0.006132,0.010948,0.005648,0.004385,0.003196,-0.001901,0.007102,0.009454,-0.001973
67,Legal services,0.000000,0.007369,0.014471,0.016984,0.010969,0.013468,0.025901,0.004879,-0.006368,0.022573,0.008214,0.021186,0.014139,0.006197,0.012367,0.015326,0.013433,0.012385,0.019555,0.018216,0.022866,0.024494,0.018363,0.022743,0.027033,0.016105,0.020497,0.024379,0.023035
68,Computer systems design and related services,0.000000,-0.002280,-0.006397,-0.015241,-0.009834,-0.004960,-0.009549,-0.004698,-0.026925,-0.012692,-0.013440,-0.011809,-0.020192,-0.002082,0.007092,-0.010795,0.019658,-0.011125,-0.012216,-0.005219,-0.011735,0.010177,0.011656,-0.000234,-0.022642,-0.035625,0.012566,0.003664,-0.036670
69,"Miscellaneous professional, scientific, and technical services",0.000000,-0.001131,-0.001585,0.002849,0.002408,0.001137,-0.004799,0.010167,0.003897,-0.018750,-0.004629,0.005137,0.016331,0.005194,0.003822,0.006449,0.013036,0.013284,0.009601,0.008752,0.008301,0.007669,0.000090,0.001172,0.006358,0.005745,0.001450,0.007357,0.003872
70,Management of companies and enterprises,0.000000,-0.000104,-0.005130,-0.001948,-0.008643,-0.014362,-0.000716,-0.004340,0.002190,-0.003428,-0.007095,-0.006637,0.006801,-0.015308,0.001814,-0.008604,0.018032,0.020768,0.006807,-0.001238,0.000053,0.025284,0.020642,0.031612,-0.002453,-0.005469,0.026368,0.008191,0.005706
71,Administrative and waste management services,0.000000,0.006901,0.007542,0.005686,0.000957,0.007866,0.006733,-0.001620,0.007029,0.002408,0.003056,0.008973,0.015339,0.008732,0.011208,0.012091,0.021779,0.023221,0.013163,0.006130,0.015434,0.003387,0.009696,0.009490,0.010125,0.011939,0.007079,0.006333,0.012955
72,Administrative and support services,0.000000,0.006434,0.006354,0.005142,-0.001310,0.008238,0.006228,-0.003689,0.006785,0.004142,0.004399,0.009107,0.016495,0.008375,0.007042,0.009438,0.018360,0.020592,0.011714,0.005237,0.017522,-0.000258,0.009693,0.008118,0.008363,0.012999,0.005517,0.008270,0.011656
73,Waste management and remediation services,0.000000,0.011836,0.019833,0.011074,0.024132,0.004034,0.011717,0.018378,0.009708,-0.014268,-0.010016,0.007387,0.003175,0.012045,0.054488,0.039484,0.056710,0.049397,0.027324,0.014795,-0.004291,0.038392,0.009752,0.022040,0.026407,0.002278,0.021670,-0.011808,0.025526
74,"Educational services, health care, and social assistance",0.000000,0.003759,0.006150,0.007752,0.006075,0.007598,0.005559,0.001323,0.015935,-0.000784,0.005014,0.006937,0.003631,0.002100,0.010923,0.014278,0.009591,0.014548,0.007982,0.008887,0.010873,0.004731,0.006674,0.006854,0.006387,0.008051,0.004555,0.006356,0.008552
75,Educational services,0.000000,0.004475,0.006749,0.009400,0.008607,0.005866,0.005638,0.006150,0.009778,0.006598,0.006663,0.005938,-0.000223,0.000891,0.010365,0.012742,0.012617,0.012580,0.006063,0.006600,0.008558,0.005023,0.007956,0.006975,0.007773,0.008690,0.009256,0.006847,0.004980
76,Health care and social assistance,0.000000,0.003641,0.006049,0.007472,0.005661,0.007890,0.005538,0.000602,0.016859,-0.001915,0.004755,0.007086,0.004232,0.002299,0.011013,0.014521,0.009113,0.014861,0.008283,0.009238,0.011223,0.004682,0.006479,0.006837,0.006178,0.007949,0.003874,0.006288,0.009066
77,Ambulatory health care services,0.000000,0.003416,0.004582,0.003960,0.002119,0.007853,0.004945,0.000706,0.019321,-0.001156,0.003321,0.004700,0.002231,-0.003672,0.001914,0.008928,-0.000504,0.010673,0.003905,0.003595,0.009153,0.002034,0.006080,0.006953,0.000993,0.008676,0.005864,0.002343,0.015639
78,Hospitals,0.000000,0.004534,0.005729,0.010568,0.004023,0.002930,0.003703,-0.000188,0.017842,-0.001522,0.005553,0.009547,0.010868,0.008194,0.015299,0.017778,0.017139,0.020088,0.010921,0.015194,0.013141,0.009133,0.007201,0.004650,0.012216,0.005294,0.000578,0.007505,-0.000535
79,Nursing and residential care facilities,0.000000,0.002751,0.010191,0.010634,0.017990,0.011916,0.012388,0.004207,0.005918,-0.003532,0.003126,0.005920,0.000820,0.007252,0.026256,0.020729,0.022025,0.016232,0.017043,0.014568,0.010622,0.001547,0.004558,0.008827,0.010541,0.014617,0.001262,0.010008,0.009543
80,Social assistance,0.000000,0.002595,0.010763,0.011698,0.016363,0.021494,0.007377,-0.000563,0.011964,-0.005386,0.011443,0.012445,-0.004863,0.008276,0.027863,0.025940,0.019090,0.018041,0.013425,0.013419,0.015871,0.006676,0.007933,0.010996,0.008404,0.006498,0.006826,0.017553,0.007011
81,"Arts, entertainment, recreation, accommodation, and food services",0.000000,0.011675,0.006307,0.013123,0.004164,-0.001894,0.004330,0.014290,0.009133,0.002581,0.036449,0.028354,0.015950,0.003368,0.021265,0.037392,0.024785,0.030475,0.008522,0.020057,0.012522,0.009953,0.004403,0.009227,0.018983,-0.001164,0.000603,0.012756,0.011980
82,"Arts, entertainment, and recreation",0.000000,0.011301,0.004389,0.022710,0.013762,0.004243,0.003758,-0.003205,-0.018008,0.010904,0.019930,0.019306,0.004651,-0.010477,0.016534,0.013437,0.041008,0.016924,0.006336,0.037761,0.022129,-0.003206,0.004493,0.011091,0.032248,0.004132,-0.011445,0.002100,0.017440
83,"Performing arts, spectator sports, museums, and related activities",0.000000,0.015143,-0.001597,0.022324,0.011352,0.008886,-0.003123,-0.004896,-0.029670,0.014531,0.020824,0.020962,0.002783,-0.018706,0.003221,0.008263,0.037637,0.010540,0.009559,0.046582,0.034654,-0.009943,0.001472,0.015696,0.035121,0.000857,-0.026484,-0.003076,0.023059
84,"Amusements, gambling, and recreation industries",0.000000,0.005963,0.013400,0.023803,0.017383,-0.003069,0.013455,-0.001194,-0.001916,0.005998,0.018518,0.016986,0.006796,0.000269,0.034421,0.020512,0.045869,0.025878,0.001979,0.025782,0.005191,0.005932,0.008649,0.004461,0.028067,0.008968,0.011073,0.009703,0.009258
